Name,Charge,Discharge,Useable capacity (kWh),hours to charge ,hours to discharge,efficiency,Cycles warrantied,Installation price,Warranty,Savings per year,Breakeven
Tesla Powerwall 3 x1,5,11,13.5,2.7,1.227272727,0.89,Unlimited," £9,489.00 ",10,88.73777269,106.9330423
Tesla Powerwall 3 x2,6.5,11,27,4.153846154,2.454545455,0.89,Unlimited," £14,989.00 ",10,541.5603091,27.67743453
Tesla Powerwall 3 x3,8,11,40.5,5.0625,3.681818182,0.89,Unlimited," £20,489.00 ",10,872.8633827,23.47331828
Sigenergy 5kW Hybrid/SigenStor 10kWh ,5,5,10.2,2.04,2.04,0.89,6000," £8,480.00 ",10,174.8990596,48.48510918
Sigenergy 5kW Hybrid/SigenStor 24kWh,5,5,23.5,4.7,4.7,0.89,6000," £11,605.00 ",10,447.2545037,25.94719539
Huawei 5kW Hybrid/Luna S1 14kWh ,5,5,13.8,2.76,2.76,0.89,"12,000"," £9,636.00 ",15,305.0532811,31.58792446
Huawei 5kW Hybrid/Luna SO 10kWh ,5,5,10,2,2,0.89,6580," £8,156.00 ",10,167.8447468,48.59252467
Fox ESS 3.68kW Hybrid/8.64kWh,3.68,3.68,7.8,2.119565217,2.119565217,0.89,6000," £7,054.00 ",10,139.0504707,50.72978154
Fox ESS 5kW Hybrid/11.52kWh,5,5,10.4,2.08,2.08,0.89,6000," £7,786.00 ",10,181.9514932,42.79162464
Solis 3.68kW Hybrid/Pylon Force 10.65kWh ,3.68,3.68,9.6,2.608695652,2.608695652,0.89,6000," £7,786.00 ",5,203.486571,38.26296724
Solis 5kW Hybrid/Pylontech Pelio 15kWh,5,5,14.6,2.92,2.92,0.89,8000," £7,867.00 ",10,335.2695806,23.46469962
SolarEdge 3.68kW Hybrid/Home Battery ,5,5,9.7,1.94,1.94,0.89,Unlimited," £10,085.00 ",10,157.2904892,64.11703625
Sonnen 10 - 11kWh,4.6,4.6,10,2.173913043,2.173913043,0.89,10000," £9,750.00 ",10,182.6286303,53.38702908
Powervault P5,3.6,3.6,12,3.333333333,3.333333333,0.89,Unlimited," £8,390.00 ",10,299.0483362,28.0556652
MyEnergi 5kW Hybrid/Libbi 10kWh,5,5,9.2,1.84,1.84,0.94,10000," £9,549.00 ",10,154.0604507,61.98216319
Puredrive Energy 5kWh,1.8,2.5,4.5,2.5,1.8,0.89,10000," £7,810.00 ",10,66.36217378,117.6875252
GivEnergy All In One 13.5kWh,6,6,13.5,2.25,2.25,0.93,TBC," £8,040.00 ",12,271.3538432,29.62920999